"instant","dteday","season","yr","mnth","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","cnt","date"
27,"1/2/2011",1,0,1,2,0,"Sun","no","2_Mist+cloudy",0.42,0.4242,1,0.2836,1,8,9,2011-01-02 02:00:00
28,"1/2/2011",1,0,1,3,0,"Sun","no","2_Mist+cloudy",0.46,0.4545,0.94,0.194,2,4,6,2011-01-02 03:00:00
29,"1/2/2011",1,0,1,4,0,"Sun","no","2_Mist+cloudy",0.46,0.4545,0.94,0.194,2,1,3,2011-01-02 04:00:00
30,"1/2/2011",1,0,1,6,0,"Sun","no","3_Light snow/rain",0.42,0.4242,0.77,0.2985,0,2,2,2011-01-02 06:00:00
31,"1/2/2011",1,0,1,7,0,"Sun","no","2_Mist+cloudy",0.4,0.4091,0.76,0.194,0,1,1,2011-01-02 07:00:00
32,"1/2/2011",1,0,1,8,0,"Sun","no","3_Light snow/rain",0.4,0.4091,0.71,0.2239,0,8,8,2011-01-02 08:00:00
33,"1/2/2011",1,0,1,9,0,"Sun","no","2_Mist+cloudy",0.38,0.3939,0.76,0.2239,1,19,20,2011-01-02 09:00:00
34,"1/2/2011",1,0,1,10,0,"Sun","no","2_Mist+cloudy",0.36,0.3485,0.81,0.2239,7,46,53,2011-01-02 10:00:00
35,"1/2/2011",1,0,1,11,0,"Sun","no","2_Mist+cloudy",0.36,0.3333,0.71,0.2537,16,54,70,2011-01-02 11:00:00
36,"1/2/2011",1,0,1,12,0,"Sun","no","2_Mist+cloudy",0.36,0.3333,0.66,0.2985,20,73,93,2011-01-02 12:00:00
37,"1/2/2011",1,0,1,13,0,"Sun","no","2_Mist+cloudy",0.36,0.3485,0.66,0.1343,11,64,75,2011-01-02 13:00:00
38,"1/2/2011",1,0,1,14,0,"Sun","no","3_Light snow/rain",0.36,0.3485,0.76,0.194,4,55,59,2011-01-02 14:00:00
39,"1/2/2011",1,0,1,15,0,"Sun","no","3_Light snow/rain",0.34,0.3333,0.81,0.1642,19,55,74,2011-01-02 15:00:00
40,"1/2/2011",1,0,1,16,0,"Sun","no","3_Light snow/rain",0.34,0.3333,0.71,0.1642,9,67,76,2011-01-02 16:00:00
41,"1/2/2011",1,0,1,17,0,"Sun","no","1_clear",0.34,0.3333,0.57,0.194,7,58,65,2011-01-02 17:00:00
42,"1/2/2011",1,0,1,18,0,"Sun","no","2_Mist+cloudy",0.36,0.3333,0.46,0.3284,10,43,53,2011-01-02 18:00:00
43,"1/2/2011",1,0,1,19,0,"Sun","no","1_clear",0.32,0.2879,0.42,0.4478,1,29,30,2011-01-02 19:00:00
44,"1/2/2011",1,0,1,20,0,"Sun","no","1_clear",0.3,0.2727,0.39,0.3582,5,17,22,2011-01-02 20:00:00
45,"1/2/2011",1,0,1,21,0,"Sun","no","1_clear",0.26,0.2273,0.44,0.3284,11,20,31,2011-01-02 21:00:00
46,"1/2/2011",1,0,1,22,0,"Sun","no","1_clear",0.24,0.2121,0.44,0.2985,0,9,9,2011-01-02 22:00:00
47,"1/2/2011",1,0,1,23,0,"Sun","no","1_clear",0.22,0.2273,0.47,0.1642,0,8,8,2011-01-02 23:00:00
48,"1/3/2011",1,0,1,0,0,"mon","yes","1_clear",0.22,0.197,0.44,0.3582,0,5,5,2011-01-03 00:00:00
49,"1/3/2011",1,0,1,1,0,"mon","yes","1_clear",0.2,0.1667,0.44,0.4179,0,2,2,2011-01-03 01:00:00
50,"1/3/2011",1,0,1,4,0,"mon","yes","1_clear",0.16,0.1364,0.47,0.3881,0,1,1,2011-01-03 04:00:00
51,"1/3/2011",1,0,1,5,0,"mon","yes","1_clear",0.16,0.1364,0.47,0.2836,0,3,3,2011-01-03 05:00:00
52,"1/3/2011",1,0,1,6,0,"mon","yes","1_clear",0.14,0.1061,0.5,0.3881,0,30,30,2011-01-03 06:00:00
53,"1/3/2011",1,0,1,7,0,"mon","yes","1_clear",0.14,0.1364,0.5,0.194,1,63,64,2011-01-03 07:00:00
54,"1/3/2011",1,0,1,8,0,"mon","yes","1_clear",0.14,0.1212,0.5,0.2836,1,153,154,2011-01-03 08:00:00
55,"1/3/2011",1,0,1,9,0,"mon","yes","1_clear",0.16,0.1364,0.43,0.3881,7,81,88,2011-01-03 09:00:00
56,"1/3/2011",1,0,1,10,0,"mon","yes","1_clear",0.18,0.1667,0.43,0.2537,11,33,44,2011-01-03 10:00:00
57,"1/3/2011",1,0,1,11,0,"mon","yes","1_clear",0.2,0.1818,0.4,0.3284,10,41,51,2011-01-03 11:00:00
58,"1/3/2011",1,0,1,12,0,"mon","yes","1_clear",0.22,0.2121,0.35,0.2985,13,48,61,2011-01-03 12:00:00
59,"1/3/2011",1,0,1,13,0,"mon","yes","1_clear",0.24,0.2121,0.35,0.2836,8,53,61,2011-01-03 13:00:00
60,"1/3/2011",1,0,1,14,0,"mon","yes","1_clear",0.26,0.2424,0.3,0.2836,11,66,77,2011-01-03 14:00:00
61,"1/3/2011",1,0,1,15,0,"mon","yes","1_clear",0.26,0.2424,0.3,0.2537,14,58,72,2011-01-03 15:00:00
62,"1/3/2011",1,0,1,16,0,"mon","yes","1_clear",0.26,0.2424,0.3,0.2537,9,67,76,2011-01-03 16:00:00
63,"1/3/2011",1,0,1,17,0,"mon","yes","1_clear",0.24,0.2273,0.3,0.2239,11,146,157,2011-01-03 17:00:00
64,"1/3/2011",1,0,1,18,0,"mon","yes","1_clear",0.24,0.2576,0.32,0.1045,9,148,157,2011-01-03 18:00:00
65,"1/3/2011",1,0,1,19,0,"mon","yes","1_clear",0.2,0.2576,0.47,0,8,102,110,2011-01-03 19:00:00
66,"1/3/2011",1,0,1,20,0,"mon","yes","1_clear",0.2,0.2273,0.47,0.1045,3,49,52,2011-01-03 20:00:00
67,"1/3/2011",1,0,1,21,0,"mon","yes","1_clear",0.18,0.197,0.64,0.1343,3,49,52,2011-01-03 21:00:00
68,"1/3/2011",1,0,1,22,0,"mon","yes","1_clear",0.14,0.1515,0.69,0.1343,0,20,20,2011-01-03 22:00:00
69,"1/3/2011",1,0,1,23,0,"mon","yes","1_clear",0.18,0.2121,0.55,0.1045,1,11,12,2011-01-03 23:00:00
70,"1/4/2011",1,0,1,0,0,"tue","yes","1_clear",0.16,0.1818,0.55,0.1045,0,5,5,2011-01-04 00:00:00
71,"1/4/2011",1,0,1,1,0,"tue","yes","1_clear",0.16,0.1818,0.59,0.1045,0,2,2,2011-01-04 01:00:00
72,"1/4/2011",1,0,1,2,0,"tue","yes","1_clear",0.14,0.1515,0.63,0.1343,0,1,1,2011-01-04 02:00:00
73,"1/4/2011",1,0,1,4,0,"tue","yes","1_clear",0.14,0.1818,0.63,0.0896,0,2,2,2011-01-04 04:00:00
74,"1/4/2011",1,0,1,5,0,"tue","yes","1_clear",0.12,0.1515,0.68,0.1045,0,4,4,2011-01-04 05:00:00
75,"1/4/2011",1,0,1,6,0,"tue","yes","1_clear",0.12,0.1515,0.74,0.1045,0,36,36,2011-01-04 06:00:00
76,"1/4/2011",1,0,1,7,0,"tue","yes","1_clear",0.12,0.1515,0.74,0.1343,2,92,94,2011-01-04 07:00:00
77,"1/4/2011",1,0,1,8,0,"tue","yes","1_clear",0.14,0.1515,0.69,0.1642,2,177,179,2011-01-04 08:00:00
78,"1/4/2011",1,0,1,9,0,"tue","yes","1_clear",0.16,0.1515,0.64,0.2239,2,98,100,2011-01-04 09:00:00
79,"1/4/2011",1,0,1,10,0,"tue","yes","2_Mist+cloudy",0.16,0.1364,0.69,0.3284,5,37,42,2011-01-04 10:00:00
80,"1/4/2011",1,0,1,11,0,"tue","yes","1_clear",0.22,0.2121,0.51,0.2985,7,50,57,2011-01-04 11:00:00
81,"1/4/2011",1,0,1,12,0,"tue","yes","1_clear",0.22,0.2273,0.51,0.1642,12,66,78,2011-01-04 12:00:00
82,"1/4/2011",1,0,1,13,0,"tue","yes","1_clear",0.24,0.2273,0.56,0.194,18,79,97,2011-01-04 13:00:00
83,"1/4/2011",1,0,1,14,0,"tue","yes","1_clear",0.26,0.2576,0.52,0.2239,9,54,63,2011-01-04 14:00:00
84,"1/4/2011",1,0,1,15,0,"tue","yes","1_clear",0.28,0.2727,0.52,0.2537,17,48,65,2011-01-04 15:00:00
85,"1/4/2011",1,0,1,16,0,"tue","yes","1_clear",0.3,0.2879,0.49,0.2537,15,68,83,2011-01-04 16:00:00
86,"1/4/2011",1,0,1,17,0,"tue","yes","1_clear",0.28,0.2727,0.48,0.2239,10,202,212,2011-01-04 17:00:00
87,"1/4/2011",1,0,1,18,0,"tue","yes","1_clear",0.26,0.2576,0.48,0.194,3,179,182,2011-01-04 18:00:00
88,"1/4/2011",1,0,1,19,0,"tue","yes","1_clear",0.24,0.2576,0.48,0.1045,2,110,112,2011-01-04 19:00:00
89,"1/4/2011",1,0,1,20,0,"tue","yes","1_clear",0.24,0.2576,0.48,0.1045,1,53,54,2011-01-04 20:00:00
90,"1/4/2011",1,0,1,21,0,"tue","yes","1_clear",0.22,0.2727,0.64,0,0,48,48,2011-01-04 21:00:00
91,"1/4/2011",1,0,1,22,0,"tue","yes","1_clear",0.22,0.2576,0.64,0.0896,1,34,35,2011-01-04 22:00:00
92,"1/4/2011",1,0,1,23,0,"tue","yes","1_clear",0.2,0.2273,0.69,0.0896,2,9,11,2011-01-04 23:00:00
93,"1/5/2011",1,0,1,0,0,"wed","yes","1_clear",0.2,0.2576,0.64,0,0,6,6,2011-01-05 00:00:00
94,"1/5/2011",1,0,1,1,0,"wed","yes","1_clear",0.16,0.197,0.74,0.0896,0,6,6,2011-01-05 01:00:00
95,"1/5/2011",1,0,1,2,0,"wed","yes","1_clear",0.16,0.197,0.74,0.0896,0,2,2,2011-01-05 02:00:00
96,"1/5/2011",1,0,1,4,0,"wed","yes","1_clear",0.24,0.2273,0.48,0.2239,0,2,2,2011-01-05 04:00:00
97,"1/5/2011",1,0,1,5,0,"wed","yes","1_clear",0.22,0.2273,0.47,0.1642,0,3,3,2011-01-05 05:00:00
98,"1/5/2011",1,0,1,6,0,"wed","yes","1_clear",0.2,0.197,0.47,0.2239,0,33,33,2011-01-05 06:00:00
99,"1/5/2011",1,0,1,7,0,"wed","yes","1_clear",0.18,0.1818,0.43,0.194,1,87,88,2011-01-05 07:00:00
100,"1/5/2011",1,0,1,8,0,"wed","yes","1_clear",0.2,0.1818,0.4,0.2985,3,192,195,2011-01-05 08:00:00
101,"1/5/2011",1,0,1,9,0,"wed","yes","1_clear",0.22,0.197,0.37,0.3284,6,109,115,2011-01-05 09:00:00
102,"1/5/2011",1,0,1,10,0,"wed","yes","1_clear",0.22,0.197,0.37,0.3284,4,53,57,2011-01-05 10:00:00
103,"1/5/2011",1,0,1,11,0,"wed","yes","1_clear",0.26,0.2273,0.33,0.3284,12,34,46,2011-01-05 11:00:00
104,"1/5/2011",1,0,1,12,0,"wed","yes","1_clear",0.26,0.2273,0.33,0.3284,5,74,79,2011-01-05 12:00:00
105,"1/5/2011",1,0,1,13,0,"wed","yes","1_clear",0.28,0.2576,0.3,0.2985,6,65,71,2011-01-05 13:00:00
106,"1/5/2011",1,0,1,14,0,"wed","yes","1_clear",0.3,0.2879,0.28,0.194,10,52,62,2011-01-05 14:00:00
107,"1/5/2011",1,0,1,15,0,"wed","yes","1_clear",0.3,0.2879,0.28,0.194,7,55,62,2011-01-05 15:00:00
108,"1/5/2011",1,0,1,16,0,"wed","yes","1_clear",0.3,0.3182,0.28,0.0896,4,85,89,2011-01-05 16:00:00
109,"1/5/2011",1,0,1,17,0,"wed","yes","1_clear",0.24,0.2273,0.38,0.194,4,186,190,2011-01-05 17:00:00
110,"1/5/2011",1,0,1,18,0,"wed","yes","1_clear",0.24,0.2424,0.38,0.1343,3,166,169,2011-01-05 18:00:00
111,"1/5/2011",1,0,1,19,0,"wed","yes","1_clear",0.24,0.2576,0.38,0.1045,5,127,132,2011-01-05 19:00:00
112,"1/5/2011",1,0,1,20,0,"wed","yes","1_clear",0.22,0.2273,0.47,0.1642,7,82,89,2011-01-05 20:00:00
113,"1/5/2011",1,0,1,21,0,"wed","yes","1_clear",0.2,0.197,0.51,0.194,3,40,43,2011-01-05 21:00:00
114,"1/5/2011",1,0,1,22,0,"wed","yes","1_clear",0.18,0.197,0.55,0.1343,1,41,42,2011-01-05 22:00:00
115,"1/5/2011",1,0,1,23,0,"wed","yes","1_clear",0.2,0.2576,0.47,0,1,18,19,2011-01-05 23:00:00
116,"1/6/2011",1,0,1,0,0,"thu","yes","1_clear",0.18,0.2424,0.55,0,0,11,11,2011-01-06 00:00:00
117,"1/6/2011",1,0,1,1,0,"thu","yes","1_clear",0.16,0.2273,0.64,0,0,4,4,2011-01-06 01:00:00
118,"1/6/2011",1,0,1,2,0,"thu","yes","1_clear",0.16,0.2273,0.64,0,0,2,2,2011-01-06 02:00:00
119,"1/6/2011",1,0,1,4,0,"thu","yes","2_Mist+cloudy",0.16,0.197,0.64,0.0896,0,1,1,2011-01-06 04:00:00
120,"1/6/2011",1,0,1,5,0,"thu","yes","2_Mist+cloudy",0.14,0.1818,0.69,0.0896,0,4,4,2011-01-06 05:00:00
121,"1/6/2011",1,0,1,6,0,"thu","yes","2_Mist+cloudy",0.14,0.1667,0.63,0.1045,0,36,36,2011-01-06 06:00:00
122,"1/6/2011",1,0,1,7,0,"thu","yes","2_Mist+cloudy",0.16,0.2273,0.59,0,0,95,95,2011-01-06 07:00:00
123,"1/6/2011",1,0,1,8,0,"thu","yes","1_clear",0.16,0.2273,0.59,0,3,216,219,2011-01-06 08:00:00
124,"1/6/2011",1,0,1,9,0,"thu","yes","2_Mist+cloudy",0.18,0.2424,0.51,0,6,116,122,2011-01-06 09:00:00
125,"1/6/2011",1,0,1,10,0,"thu","yes","1_clear",0.2,0.2576,0.47,0,3,42,45,2011-01-06 10:00:00
126,"1/6/2011",1,0,1,11,0,"thu","yes","1_clear",0.22,0.2576,0.44,0.0896,2,57,59,2011-01-06 11:00:00
127,"1/6/2011",1,0,1,12,0,"thu","yes","1_clear",0.26,0.2879,0.35,0,6,78,84,2011-01-06 12:00:00
128,"1/6/2011",1,0,1,13,0,"thu","yes","1_clear",0.26,0.2727,0.35,0.1045,12,55,67,2011-01-06 13:00:00
129,"1/6/2011",1,0,1,14,0,"thu","yes","1_clear",0.28,0.2727,0.36,0.1642,11,59,70,2011-01-06 14:00:00
130,"1/6/2011",1,0,1,15,0,"thu","yes","1_clear",0.28,0.2727,0.36,0,8,54,62,2011-01-06 15:00:00
131,"1/6/2011",1,0,1,16,0,"thu","yes","1_clear",0.26,0.2576,0.38,0.1642,12,74,86,2011-01-06 16:00:00
132,"1/6/2011",1,0,1,17,0,"thu","yes","1_clear",0.22,0.2273,0.51,0.1642,9,163,172,2011-01-06 17:00:00
133,"1/6/2011",1,0,1,18,0,"thu","yes","1_clear",0.22,0.2273,0.51,0.1343,5,158,163,2011-01-06 18:00:00
134,"1/6/2011",1,0,1,19,0,"thu","yes","1_clear",0.22,0.2576,0.55,0.0896,3,109,112,2011-01-06 19:00:00
135,"1/6/2011",1,0,1,20,0,"thu","yes","1_clear",0.2,0.2121,0.51,0.1642,3,66,69,2011-01-06 20:00:00
136,"1/6/2011",1,0,1,21,0,"thu","yes","2_Mist+cloudy",0.22,0.2121,0.55,0.2239,0,48,48,2011-01-06 21:00:00
137,"1/6/2011",1,0,1,22,0,"thu","yes","2_Mist+cloudy",0.22,0.2121,0.51,0.2836,1,51,52,2011-01-06 22:00:00
138,"1/6/2011",1,0,1,23,0,"thu","yes","2_Mist+cloudy",0.2,0.197,0.59,0.194,4,19,23,2011-01-06 23:00:00
139,"1/7/2011",1,0,1,0,0,"fri","yes","2_Mist+cloudy",0.2,0.197,0.64,0.194,4,13,17,2011-01-07 00:00:00
140,"1/7/2011",1,0,1,1,0,"fri","yes","2_Mist+cloudy",0.2,0.197,0.69,0.2239,2,5,7,2011-01-07 01:00:00
141,"1/7/2011",1,0,1,2,0,"fri","yes","2_Mist+cloudy",0.2,0.197,0.69,0.2239,0,1,1,2011-01-07 02:00:00
142,"1/7/2011",1,0,1,4,0,"fri","yes","2_Mist+cloudy",0.2,0.2121,0.69,0.1343,0,1,1,2011-01-07 04:00:00
143,"1/7/2011",1,0,1,5,0,"fri","yes","3_Light snow/rain",0.22,0.2727,0.55,0,0,5,5,2011-01-07 05:00:00
144,"1/7/2011",1,0,1,6,0,"fri","yes","2_Mist+cloudy",0.2,0.2576,0.69,0,8,26,34,2011-01-07 06:00:00
145,"1/7/2011",1,0,1,7,0,"fri","yes","1_clear",0.2,0.2121,0.69,0.1343,8,76,84,2011-01-07 07:00:00
146,"1/7/2011",1,0,1,8,0,"fri","yes","1_clear",0.2,0.197,0.51,0.2537,20,190,210,2011-01-07 08:00:00
147,"1/7/2011",1,0,1,9,0,"fri","yes","1_clear",0.2,0.1818,0.47,0.2985,9,125,134,2011-01-07 09:00:00
148,"1/7/2011",1,0,1,10,0,"fri","yes","1_clear",0.22,0.197,0.37,0.3284,16,47,63,2011-01-07 10:00:00
149,"1/7/2011",1,0,1,11,0,"fri","yes","2_Mist+cloudy",0.2,0.197,0.4,0.2239,19,48,67,2011-01-07 11:00:00
150,"1/7/2011",1,0,1,12,0,"fri","yes","2_Mist+cloudy",0.2,0.197,0.37,0.2537,9,50,59,2011-01-07 12:00:00
151,"1/7/2011",1,0,1,13,0,"fri","yes","2_Mist+cloudy",0.2,0.1818,0.37,0.2836,9,64,73,2011-01-07 13:00:00
152,"1/7/2011",1,0,1,14,0,"fri","yes","2_Mist+cloudy",0.2,0.197,0.4,0.2537,7,43,50,2011-01-07 14:00:00
153,"1/7/2011",1,0,1,15,0,"fri","yes","2_Mist+cloudy",0.2,0.2121,0.37,0.1642,9,63,72,2011-01-07 15:00:00
154,"1/7/2011",1,0,1,16,0,"fri","yes","2_Mist+cloudy",0.2,0.2121,0.37,0.1642,5,82,87,2011-01-07 16:00:00
155,"1/7/2011",1,0,1,17,0,"fri","yes","2_Mist+cloudy",0.2,0.2576,0.37,0,9,178,187,2011-01-07 17:00:00
156,"1/7/2011",1,0,1,18,0,"fri","yes","1_clear",0.2,0.2273,0.4,0.0896,7,116,123,2011-01-07 18:00:00
157,"1/7/2011",1,0,1,19,0,"fri","yes","1_clear",0.16,0.197,0.55,0.0896,3,92,95,2011-01-07 19:00:00
158,"1/7/2011",1,0,1,20,0,"fri","yes","1_clear",0.18,0.2121,0.47,0.1045,1,50,51,2011-01-07 20:00:00
159,"1/7/2011",1,0,1,21,0,"fri","yes","1_clear",0.18,0.197,0.47,0.1343,0,39,39,2011-01-07 21:00:00
160,"1/7/2011",1,0,1,22,0,"fri","yes","2_Mist+cloudy",0.18,0.197,0.43,0.1642,2,34,36,2011-01-07 22:00:00
161,"1/7/2011",1,0,1,23,0,"fri","yes","2_Mist+cloudy",0.18,0.197,0.51,0.1642,1,14,15,2011-01-07 23:00:00
162,"1/8/2011",1,0,1,0,0,"sat","no","2_Mist+cloudy",0.18,0.197,0.51,0.1642,1,24,25,2011-01-08 00:00:00
163,"1/8/2011",1,0,1,1,0,"sat","no","2_Mist+cloudy",0.18,0.2121,0.55,0.0896,1,15,16,2011-01-08 01:00:00
164,"1/8/2011",1,0,1,2,0,"sat","no","2_Mist+cloudy",0.18,0.2424,0.55,0,3,13,16,2011-01-08 02:00:00
165,"1/8/2011",1,0,1,3,0,"sat","no","3_Light snow/rain",0.18,0.197,0.55,0.1642,0,7,7,2011-01-08 03:00:00
166,"1/8/2011",1,0,1,4,0,"sat","no","3_Light snow/rain",0.18,0.197,0.55,0.1642,0,1,1,2011-01-08 04:00:00
167,"1/8/2011",1,0,1,5,0,"sat","no","2_Mist+cloudy",0.16,0.1667,0.74,0.1642,0,5,5,2011-01-08 05:00:00
168,"1/8/2011",1,0,1,6,0,"sat","no","2_Mist+cloudy",0.16,0.1667,0.74,0.1642,0,2,2,2011-01-08 06:00:00
169,"1/8/2011",1,0,1,7,0,"sat","no","2_Mist+cloudy",0.16,0.1818,0.74,0.1045,1,8,9,2011-01-08 07:00:00
170,"1/8/2011",1,0,1,8,0,"sat","no","3_Light snow/rain",0.16,0.1818,0.93,0.1045,0,15,15,2011-01-08 08:00:00
171,"1/8/2011",1,0,1,9,0,"sat","no","3_Light snow/rain",0.16,0.1818,0.93,0.1045,0,20,20,2011-01-08 09:00:00
172,"1/8/2011",1,0,1,10,0,"sat","no","2_Mist+cloudy",0.18,0.197,0.8,0.1642,5,56,61,2011-01-08 10:00:00
173,"1/8/2011",1,0,1,11,0,"sat","no","2_Mist+cloudy",0.2,0.1818,0.69,0.3881,2,60,62,2011-01-08 11:00:00
174,"1/8/2011",1,0,1,12,0,"sat","no","2_Mist+cloudy",0.2,0.1818,0.59,0.3582,8,90,98,2011-01-08 12:00:00
175,"1/8/2011",1,0,1,13,0,"sat","no","1_clear",0.2,0.1818,0.44,0.3284,7,95,102,2011-01-08 13:00:00
176,"1/8/2011",1,0,1,14,0,"sat","no","1_clear",0.2,0.1667,0.32,0.4925,12,83,95,2011-01-08 14:00:00
177,"1/8/2011",1,0,1,15,0,"sat","no","1_clear",0.2,0.1667,0.32,0.4478,5,69,74,2011-01-08 15:00:00
178,"1/8/2011",1,0,1,16,0,"sat","no","1_clear",0.18,0.1364,0.29,0.4478,8,68,76,2011-01-08 16:00:00
179,"1/8/2011",1,0,1,17,0,"sat","no","1_clear",0.16,0.1212,0.37,0.5522,5,64,69,2011-01-08 17:00:00
180,"1/8/2011",1,0,1,18,0,"sat","no","1_clear",0.14,0.1212,0.39,0.2985,3,52,55,2011-01-08 18:00:00
181,"1/8/2011",1,0,1,19,0,"sat","no","1_clear",0.14,0.1212,0.36,0.2537,4,26,30,2011-01-08 19:00:00
182,"1/8/2011",1,0,1,20,0,"sat","no","1_clear",0.12,0.1212,0.36,0.2537,0,28,28,2011-01-08 20:00:00
183,"1/8/2011",1,0,1,21,0,"sat","no","1_clear",0.12,0.1061,0.39,0.3582,2,35,37,2011-01-08 21:00:00
184,"1/8/2011",1,0,1,22,0,"sat","no","1_clear",0.12,0.1061,0.36,0.3881,1,33,34,2011-01-08 22:00:00
185,"1/8/2011",1,0,1,23,0,"sat","no","1_clear",0.1,0.0606,0.39,0.4478,0,22,22,2011-01-08 23:00:00
186,"1/9/2011",1,0,1,0,0,"Sun","no","1_clear",0.1,0.0758,0.42,0.3881,1,24,25,2011-01-09 00:00:00
187,"1/9/2011",1,0,1,1,0,"Sun","no","1_clear",0.1,0.0606,0.42,0.4627,0,12,12,2011-01-09 01:00:00
188,"1/9/2011",1,0,1,2,0,"Sun","no","1_clear",0.1,0.0606,0.46,0.4627,0,11,11,2011-01-09 02:00:00
189,"1/9/2011",1,0,1,3,0,"Sun","no","1_clear",0.1,0.0758,0.46,0.4179,0,4,4,2011-01-09 03:00:00
190,"1/9/2011",1,0,1,4,0,"Sun","no","1_clear",0.08,0.0909,0.53,0.194,0,1,1,2011-01-09 04:00:00
191,"1/9/2011",1,0,1,5,0,"Sun","no","1_clear",0.08,0.0909,0.53,0.194,0,1,1,2011-01-09 05:00:00
192,"1/9/2011",1,0,1,6,0,"Sun","no","1_clear",0.1,0.0909,0.49,0.2836,0,1,1,2011-01-09 06:00:00
193,"1/9/2011",1,0,1,7,0,"Sun","no","1_clear",0.08,0.0909,0.53,0.194,1,5,6,2011-01-09 07:00:00
194,"1/9/2011",1,0,1,8,0,"Sun","no","1_clear",0.1,0.0909,0.49,0.2836,0,10,10,2011-01-09 08:00:00
195,"1/9/2011",1,0,1,9,0,"Sun","no","1_clear",0.12,0.0758,0.46,0.5224,0,19,19,2011-01-09 09:00:00
196,"1/9/2011",1,0,1,10,0,"Sun","no","1_clear",0.14,0.1061,0.43,0.3881,0,49,49,2011-01-09 10:00:00
197,"1/9/2011",1,0,1,11,0,"Sun","no","1_clear",0.16,0.1212,0.4,0.5224,2,47,49,2011-01-09 11:00:00
